date_received,product,sub_product,issue,sub_issue,consumer_narrative,company_public_response,company,state,tags,submitted_via,company_response,timely_response,consumer_disputed,year,month,has_narrative,product_normalised
2024-06-17,Debt collection,Medical debt,Attempts to collect debt not owed,Debt is not yours,This company contacted me stating I owed a debt that didn't exist. I contacted the original healthcare provider to confirm this. The healthcare provider sent all supporting documents showing I owe no debts. This company stated to provide all supporting documents in which I did. Now they are not responding to me when I ask for confirmation. I have sent four emails asking for assistance. They only continue to send me letters in the mail and ignore what I have provided.,,Phoenix Financial Services LLC,IL,,Web,Closed with explanation,1,,2024,6,1,Debt collection
2025-04-11,Debt collection,Credit card debt,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,FL,Older American,Web,Closed with explanation,1,,2025,4,0,Debt collection
2016-08-01,Mortgage,FHA mortgage,"Application, originator, mortgage broker",,"First of let me say for a manager to start yelling at a customer is beyond belief. I reluctantly dealt with XXXX and it was one of the worst things I could do. She constantly made excuses, would not call me back or answer questions. I got answers from another lender. She told me that I did not qualify for a loan because the loan to debt ratio was XXXX. Another lender told me XXXX, and I called her numerous times because I wanted to know, would I qualify if I paid off my XXXX car loan. So it would not be considered debt if it were not there. She never even mentioned any other options after running my credit. She is unprofessional, rude and loud. She got angry because I questioned her lack of customer service, went off on me as though she was some street fighter and frankly she only embarrassed herself! Please allow me to send you the emails where she tried to send me to another company. I did not want to deal with her ecause of her poor customer service and you will see that in the emails. I cant believe you have such an unprofessional person in your employ. I would like to speak to the President of the company. She lied and manipulated me into allowing her to r run my credit information. I sent her all of the documentation and she claimed that she looked it over BEFORE to see if it were feasible to run my credit which I do n't believe she did. All she was interested in was running my credit. Also to try to send me to another lender without even trying to earn my business is disturbing. The emails outline the fact that she was ignoring me and I had to get answers from another lender. She never even gave me any alternatives to make the loan work. 
despite all of this, no 'PROFESSIONAL ' has the right to yell at a customer., tell them anything to run their credit then abandon the customer Here is her information XXXX XXXX , Sales Manager/Mortgage Loan Originator, XXXX # XXXX HomeBridge Financial Services , Inc . 
XXXX Member Preferred Lender XXXX XXXX XXXX XXXX XXXX, NJ XXXX o : XXXX c : XXXX f : XXXX e : XXXXXXXXXXXX",Company believes it acted appropriately as authorized by contract or law,"AMA Advisors, LLC.",CA,,Web,Closed with explanation,1,0.0,2016,8,1,Mortgage
2015-02-22,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",TN,Servicemember,Web,Closed with explanation,1,0.0,2015,2,0,Mortgage
2024-04-24,Debt collection,I do not know,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,"I recognize the importance of removing any inaccurate accounts from my credit report in accordance with FCRA 605B. Could you please review the documents? I've observed discrepancies in several listed accounts, which is troubling to me.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",PA,,Web,Closed with non-monetary relief,1,,2024,4,1,Debt collection
2023-01-23,Checking or savings account,Checking account,Managing an account,Fee problem,No matter how many times I used my card they was charging me additional fees.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,GA,,Web,Closed with explanation,1,,2023,1,1,Bank account / service
2021-01-10,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,,,DISCOVER BANK,PA,,Web,Closed with monetary relief,1,,2021,1,0,Credit card
2025-08-05,Debt collection,Other debt,Attempts to collect debt not owed,Debt was result of identity theft,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNRISE CREDIT SERVICES, INC",WI,,Web,Closed with explanation,1,,2025,8,0,Debt collection
2020-11-19,Debt collection,Medical debt,Written notification about debt,Didn't receive enough information to verify debt,"Dispute Timeline I noticed on my credit report a collections account from American Capital ENT claiming I owe {$1800.00}. This debt is not mine and they will not respond to my request to remove this fraudulent item from my credit report.

File Name : Dispute Letter 1 XXXX XX/XX/XXXX 1st Dispute letter mailed on XX/XX/2020, with no response. 

File Name : USPS Certified Mail Receipt Receipt for 1st Dispute Letter being sent.

File Name : USPS Tracking Date Letter Received XX/XX/XXXX 1st Letter received by American Capital on XX/XX/2020. 

File Name : Credit Report American Capital XXXX XX/XX/XXXX I downloaded my credit report dated XX/XX/2020, with no mention in the comment section account being disputed by the consumer. 

File Name : Credit Report American Capital XXXX XX/XX/XXXX I downloaded my credit report 46 days later from the date the letter was received by American Capital, with no mention in the comment section that this account is being disputed by the consumer. 

File Name : Dispute Letter 2 XXXX XX/XX/XXXX 2nd Dispute letter sent to American Capital with no response.

File Name : USPS Certified Mail Receipt XX/XX/XXXX - Receipt for 2nd Dispute Letter being sent. 

File Name : USPS Tracking Date Dispute Letter Received XX/XX/XXXX - 1st Letter received by American Capital on XX/XX/2020.",Company believes it acted appropriately as authorized by contract or law,"American Capital Enterprises, Inc.",CA,,Web,Closed with explanation,1,,2020,11,1,Debt collection
2018-06-21,Checking or savings account,Other banking product or service,Closing an account,Can't close your account,,,GOLDMAN SACHS BANK USA,,,Phone,Closed with explanation,1,,2018,6,0,Bank account / service
2025-07-05,Debt collection,I do not know,Written notification about debt,Didn't receive enough information to verify debt,"I am writing in response to your recent correspondence by reporting to my credit report regarding the alleged debt you claim I owe. As per my rights under the Fair Debt Collection Practices Act ( FDCPA ) and the guidelines outlined by the Consumer Financial Protection Bureau ( CFPB ), I previously requested proper validation of this debt through the credit bureau. However, the information you provided does not constitute sufficient proof of my obligation to pay you. I was never properly notified of the debt in order to dispute it prior to reporting it to my credit report. I dont recall authorizing your company in particular to have a purpose to report with ANY signed agreement. Below is the letter I sent directly to this collection agency. I never received any follow up and my credit has been tarnished as a result of their unlawful collection reporting. 
"" To Whom it May Concern, I am writing to demand that you immediately cease all attempts to collect on the debt you allege I owe. I do not recognize this debt, and I am formally disputing its validity. Under the Fair Debt Collection Practices Act ( FDCPA ), specifically 15 U.S.C. 1692c ( c ), you must cease all further communication with me regarding this alleged debt, including phone calls, letters, emails, and any other forms of contact.

Account number : XXXX, I need to see all paperwork and contracts with my signature that would verify ownership. Remove this account immediately. 

Demand for Documentation In addition to ceasing all collection activity, I demand that you provide me with the following documentation to validate the debt : Agreement with Original Creditor : A copy of the agreement between your agency and the original creditor, authorizing you to collect on this debt. 

Original Agreement : A copy of the original agreement or contract with the original creditor that clearly shows my signature, proving that I agreed to the terms and conditions of the original debt.

Complete Chain of Title : A full and complete chain of title on this account, detailing each transfer or sale of the account from the original creditor to your agency, demonstrating that you have the legal right to collect this debt. 

Contract Confirming Debt Obligation to Your Agency : Any documentation that indicates I entered into an agreement with your agency, showing that I consented to pay this debt specifically to you. 

Additionally, I advise you that the original agreement includes an arbitration clause. Therefore, any legal action or dispute involving this debt should follow the arbitration process outlined in that agreement. Continuing collection attempts without adhering to the terms of the original contract may constitute a breach of contract.

Violations of the FDCPA By sending harassing collection letters, calling me repeatedly, and reporting this disputed debt to the credit bureaus without a permissible purpose, you are in direct violation of several provisions of the FDCPA, including but not limited to : 15 U.S.C. 1692d Prohibition Against Harassment : Repeated calls and letters from your agency constitute harassment, which is strictly prohibited under this section.

15 U.S.C. 1692e False or Misleading Representations : Reporting a disputed and unverified debt to the credit bureaus may be considered a misleading representation, as you have no confirmed basis for collecting this debt.

15 U.S.C. 1692f Prohibition of Unfair Practices : Attempting to collect a debt without proper validation or verification of its legitimacy is an unfair practice under the FDCPA.

15 U.S.C. 1681b Permissible Purpose Requirement : Reporting this alleged debt to credit reporting agencies without a legitimate permissible purpose is a violation of my privacy and rights under the Fair Credit Reporting Act ( FCRA ).

Final Demand for Deletion and Warning of Legal Action If the alleged debt is not fully validated and documented within 30 days, or if it is not deleted from my credit report, I will pursue arbitration or file a lawsuit for your violations of the FDCPA and FCRA. Additionally, I will seek monetary compensation for damages caused by your unlawful and harassing collection practices. 

Thank you for your immediate attention to this matter. I expect a prompt and complete response, along with the deletion of the alleged debt from my credit report within the specified timeframe. '' After sending this, I never received any proper notification prior to this account affecting my credit.",,Resurgent Capital Services L.P.,TX,,Web,Closed with non-monetary relief,1,,2025,7,1,Debt collection
2019-05-27,Mortgage,Conventional home mortgage,Trouble during payment process,,"Hello and thank you for offering this service, it is nice to know that there is a government entity that provides a place to be heard and hopefully justice kept inline because of it. 

What happened ; In XXXX XXXX XXXX approved me for a 30 year mortgage. I am in excellent standing with XXXX XXXX. 

XX/XX/XXXX I received a notification of assignment, sale or transfer of my mortgage loan to XXXX XXXX XXXX XXXX XXXX XXXX effective XX/XX/XXXX. 
I don't know what to do with this information. 

- XX/XX/XXXX XXXX XXXX sends me my monthly bill and statement, which I pay. 

- XX/XX/XXXX XXXX XXXX sends me my monthly bill and statement, which I pay. 

- XX/XX/XXXX I received a letter from Select Portfolio, stating that my loan will now be paid to SPS. Confused by this letter and no warning from XXXX XXXX I speak in person with two XXXX XXXX Mortgage agents, they too are confused and after many phone calls determine that I am to send my mortgage payments to SPS. 
I am upset that XXXX XXXX did not inform me. 

XX/XX/XXXX XXXX XXXX sends me my monthly bill and statement. Confused, I pay. 

XX/XX/XXXX I finally receive a transfer of servicing mortgage loan from XXXX XXXX to Select Portfolio Servicing. 

XX/XX/XXXX Select Portfolio servicing sends me a letter of their payment address. 

XX/XX/XXXX Select Portfolio servicing sends me my mortgage bill and statement. Which I pay. 

XX/XX/XXXX I received from XXXX XXXX Mortgage Company, a notice of assignment, sale or transfer of ownership of mortgage loan ; Select Portfolio Servicing. 
I am confused by this letter of yet another possible sale!? 

XX/XX/XXXX Select Portfolio servicing sends me my mortgage statement and bill, which I pay. 

XX/XX/XXXX Select Portfolio servicing sends me my annual escrow account disclosure statement and my new escrow payment amount. 

XX/XX/XXXX Select Portfolio servicing sends me my mortgage statement and bill, which I pay. 

XX/XX/XXXX Select Portfolio servicing sends me a notice of servicing transfer. 
Loan now transferred to XXXX XXXX XXXX XXXX. 

Complaint ; My loan was transferred twice almost three times in less than five months! 
Each time requires time and effort in setting up new company to pay. 
Is this legal, of so why? 
How many people are currently experiencing this and what is the intention behind the buying and selling of home loans? 

Thank you for your time and effort. 

- XXXX XXXX",Company believes it acted appropriately as authorized by contract or law,"SELECT PORTFOLIO SERVICING, INC.",CA,,Web,Closed with explanation,1,,2019,5,1,Mortgage
2019-08-07,Mortgage,Home equity loan or line of credit (HELOC),Struggling to pay mortgage,,"I was told that house was already sold and no one had contacted them. Then a few weeks later, told house not sold for foreclosure and new date is XX/XX/XXXX. I asked for a refund of the {$900.00}, emergency payment to stop foreclosure and told no refunds and still many other options. The man that asked for the {$900.00} phone payment, XXXX XXXX at XXXX XXXX XXXX, did so on a Friday and on the following Tuesday I was told house was sold, by Real Estate Agents. Tried to reach him in office but was out of office until the following Friday. Asked for refund and told no refunds allowed. Made several calls and spoke to ladies in office, but never heard from him again. Loan is with Bank of America, a Home Equity Loan, and in my husband 's name only. He passed away in XX/XX/XXXX, and Bank of America was given a death certificate. After that date, I was not allowed to receive any information regarding the loan and told my job was only to pay the monthly statements. I did until XX/XX/XXXX, and became behind on payments. Spoke to an attorney that referred me to Senator XXXX XXXX Office and XXXX XXXX, has been assisting me to get help with information regarding this loan. He put me in contact with XXXX XXXX, Resolutions Specialist. Had a couple of phone contacts, then a taped phone interview. Told me he would send me five documents I asked for a something in writing on Bank of America Letterhead, that he did a loan search and found that no other names had ever been on this loan and that a Power of Attorney, was not involved in the loan history. I did not receive the documents or letter from him, regarding our conversation on the taped phone call on XX/XX/XXXX. I waited ten days and then went to my local Bank of American Bank and they got the information I needed to contact the Loan Retention Department. Got XXXX XXXX and she got busy explaining how things worked and that I needed to be a Successor to receive information. She checked XXXX XXXX 's nots on loan history file and saw that he approved the "" Successor '' status for me to get information on XX/XX/XXXX. I told her it has been two weeks and no paperwork. She got busy and sent me the original paperwork, with my husband 's name on it, the loan settlement statement the loan history and the load pay off date and amount. The loan line of credit, approximately {$50000.00}, with transaction information, did not show up with the other four documents I am still in the process of trying to get a copy of those documents, with XXXX XXXX, XXXX XXXX and XXXX XXXX, have not responded and have concerns about the final date to pay off my husband 's loan being XX/XX/XXXX, without the complete paperwork and the time to seek legal and financial advice, regarding it's status and how it is going to impact whether or not I will be able to sell house and pay off both loans on the house and unsecured credit, as planned. Getting threating telephone calls from XXXX XXXX XXXX, a company I am not familiar with. The most recent caller has been a man named XXXX XXXX, but several other men and women calling my unlisted number and no idea who they are. The calls tell me to call the number XXXX, or I will have a lot of unpleasant legal things happen to me. Must call immediately and they all ended with sarcastic wishes for Good Luck. The only banks I am dealing with are Bank of America, for the Home Equity Loan in my husband 's name and XXXX / XXXX XXXX, represented by XXXX XXXX XXXX. I have been told by Mr. XXXX in Congresswoman 's Office, working on this, that I have been given until end of XX/XX/XXXX to deal with Original Mortgage in my name. XXXX XXXX XXXX 's office phone number is XXXX and her fax # is XXXX. They have copies of the transactions between both XXXX XXXX XXXX and Bank of America, and been in contact with them since XX/XX/XXXX. When I could not get paperwork from bank of America, a local attorney, suggested I contact them and ask for their help. They have been wonderful in navigating this difficult situation. During this entire process a great deal of confusion as to who was foreclosing. The company that handles the paperwork in our area, XXXX XXXX, did not list the name of the bank and not until three days before the first foreclosure date was scheduled, we were all under the impression that the foreclosure was for the home mortgage and that XXXX was foreclosing. Asked Bank of America to have their name listed on the paperwork sent out. There was one notice that listed the name of a XXXX / XXXX employee and that lead us all to believe it was the mortgage company as we all have been working with them. It turned out to be Bank of America and since we had not heard form them in months, had no idea. Did get updated, XXXX XXXX document with Bank of America on the paperwork. The attorney 's that are representing Bank of America on the foreclosure are XXXX XXXX, at XXXX. Don't know if they can be helpful or not.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NV,Servicemember,Web,Closed with explanation,1,,2019,8,1,Mortgage
2016-09-22,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,,,Resurgent Capital Services L.P.,IL,,Web,Closed with explanation,1,0.0,2016,9,0,Debt collection
2023-11-02,"Payday loan, title loan, personal loan, or advance loan",Personal line of credit,Problem with a company's investigation into an existing problem,Difficulty submitting a dispute or getting information about a dispute over the phone,"Good Day I hope this letter finds you well. I am writing to request your attention in addressing a late payment that was reported to the credit bureaus by Truist Bank. The late payment occurred on or around XX/XX/2023 and was associated with my account, Lightstream Account XXXX. I understand the importance of maintaining a positive credit history and am committed to rectifying this matter by speaking with you. 

I would like to reference my previous communication and fully respect your commitment to ensuring your customers are fully understood. This was an isolated incident which was not my fault but it seems that all communication till this point has not experienced the expected empathic touch, especially in a business that deals with customers daily. 

I am reaching out to request a goodwill gesture from Truist Bank to have the late payment removed from my credit report as a current good-standing customer. It has to mean something to XXXX that there was an issue with the system somewhere that caused this isolated incident. Does this error by your system mandate a total destruction of my credit profile even as my account is being debited monthly? 

I kindly ask for your consideration in granting this request. The removal of this late payment from my credit report would greatly benefit my financial standing and provide me with an opportunity to rebuild my credit history. 

I kindly request that you review my account and, if possible, initiate the process to remove the late payment entry from my credit report. Your assistance in this matter would be greatly appreciated. 

Please feel free to contact me at XXXX or XXXX if you require any additional information or if you need to discuss this request further. 

Thank you for your attention to this matter, and I look forward to a positive resolution. 

I really look forward to speaking with you sometime soon. 

Sincerely, XXXX XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,TRUIST FINANCIAL CORPORATION,MA,,Web,Closed with explanation,1,,2023,11,1,Payday loan / title / personal
2015-05-14,Prepaid card,Gift or merchant card,Fees,,,Company chooses not to provide a public response,"SUNTRUST BANKS, INC.",MD,,Referral,Closed with monetary relief,1,0.0,2015,5,0,Credit card
2025-03-28,Debt or credit management,Mortgage modification or foreclosure avoidance,Confusing or missing disclosures,,"I was informed by Dean Morris and XXXX XXXX XXXX that I was serviced with documents regarding the default of my mortgage but I was not. On the documents used for verification that were previously sent these documents were served to my husband. At the time of service, I was not living there due to separation. I had a completely new address. I need proof that I was served with papers because during the time frame that documents were delivered ... No documents were served to me. I had a court date for separation during the same time period. Review of court documents will show the proceedings in XXXX XXXX. As a legal homeowner and financial obligee, I am entitled to due process and proper notification laws just like everyone else.",,"Dean Morris, L.L.P.",LA,,Web,Closed with explanation,1,,2025,3,1,Debt or credit management
2017-05-04,Credit card or prepaid card,General-purpose credit card or charge card,"Other features, terms, or problems",Problem with rewards from credit card,On   XXXX   XXXX   XXXX     I went to redeem some points to purchase an   XXXX   XXXX   XXXX    XXXX   tablet . By mistake I entered it twice. There is no page before submitting order to check for correctness or edit anything so I did not realize I had ordered  XXXX  in error. Withi n 5 mi nutes I called the company & they stated it is their policy not to allow returns or refunds & they could not cancel the second order. Now I am out  XXXX  points & receiving  XXXX   XXXX  when I only want & need one. The credit card company is Elan Financial Services,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,NY,Older American,Web,Closed with non-monetary relief,1,,2017,5,1,Credit card
2015-08-12,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NC,,Referral,Closed with explanation,1,0.0,2015,8,0,Mortgage
2024-09-23,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,,"W&A Intermediate Co., LLC",IL,,Web,Closed with explanation,1,,2024,9,0,Debt collection
2015-08-27,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,"We received the attached demand letter, on XXXX/XXXX/2015. After receiving a resolution letter from Nationstar on XXXX/XXXX/2015, we thought we resolved this issue. I called Nationstar Mortgage, Customer service did not know how to handle directed me to consumer relations. I called ( XXXX ) XXXX spoke with XXXX on XXXX/XXXX/15 & she said that she can not give any explanation nor any status and our Attorney has call on our behalf. I told her we do not have attorney representing us and she told me to write a letter stating so. We do not understand why they can not provide us straight answers. Nationstar is demanding {$9400.00} and we want to know how & why they came up with this amount as we have been sending in our monthly payments every month and have sent in cleared checks to prove the checks have cleared thru Nationstar.",,NATIONSTAR MORTGAGE LLC,CA,,Web,Closed with explanation,1,1.0,2015,8,1,Mortgage
2018-08-02,Checking or savings account,Checking account,Managing an account,Problem accessing account,,,FIFTH THIRD FINANCIAL CORPORATION,MI,,Referral,Closed with explanation,1,,2018,8,0,Bank account / service
2022-11-05,Debt collection,Auto debt,Attempts to collect debt not owed,Debt was paid,,,"CarMax, Inc.",NJ,,Web,Closed with explanation,1,,2022,11,0,Debt collection
2025-07-08,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,Portfolio Recovery calls and texts me repeatedly multiple times per week. Before XXXX XXXX,,"Portfolio Recovery Associates, LLC",NV,,Web,Closed with non-monetary relief,1,,2025,7,1,Debt collection
2023-09-01,Prepaid card,Gift card,Trouble using the card,Trouble using the card to spend money in a store or online,"I purchased a pre-paid American Express Gift Card at a local XXXX for {$72.00} XXXX attempted to purchase goods at two online stores ; XXXX XXXX and XXXX. I had sufficient funds for both purchases. Both were declined. No good reason other than to "" select a different payment method ''. 

I contacted both merchants and they claimed it was an Amex Gift Card issue. 

I contacted American Express and they stated it was an issue with the merchants and I should try another online store. 

Several online discussion boards are posting hundreds of comments that it is virtually impossible to use an Amex gift card online. 

This is fraud",,AMERICAN EXPRESS COMPANY,MA,,Web,Closed with monetary relief,1,,2023,9,1,Credit card
2023-06-22,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt is not yours,"I received this SMS message on XXXX at XXXX PT for a credit card collection that I have never had. The sender 's phone number is XXXX _______________________________________ This message is from Spring Oaks Capital , LLC. 

We have options available to help you pay off the debt on your account. Pay off the balance of your account with payments of {$71.00} per month for 9 months. 

To set up a payment plan, visit XXXX. Have questions? Reply to this text or call XXXX. We have agents ready to respond during normal business hours. 

This message is regarding your XXXX XXXXXXXX account originated by XXXX Bank, which is now owned by Spring Oaks Capital SPV , LLC. 

We are a debt collector. Click here for important disclosures https : XXXX. Reply STOP to opt out.",,"Spring Oaks Capital, LLC",WA,,Web,Closed with explanation,1,,2023,6,1,Debt collection
2024-06-06,Debt collection,I do not know,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,"I recognize the significance of eliminating any erroneous entries from my credit report, as required by FCRA 605B. Would you mind examining the documents? I've identified several accounts that appear to be inaccurate, and this is troubling to me.",,"EQUIFAX, INC.",IN,,Web,Closed with explanation,1,,2024,6,1,Debt collection
2019-08-20,Credit card or prepaid card,Store credit card,Getting a credit card,Application denied,"I applied to Home Depot for a credit card to finance wall to wall carpeting.  This credit card offers interest free financing and $XXXX credit toward the purchase.  I already paid the measuring fee of $XXXX.     Before the purchase was complete I was advised that I had been declined for the credit card.  No reason for the denial was given.  I later received a letter from Home Depot Credit Services citing the reason for denial as “History of delinquent credit obligations”. I was referred to XXXX  for information on which Home Depot relied for this denial. I did not receive any adverse action notices.     I reviewed the credit report from XXXX and my record is absolutely clean.  All accounts I have open are in good standing with no delinquencies reported.  Four years ago I was forced to file bankruptcy, and even then I paid my credit cards up to the filing date so there were no delinquencies.  I have worked hard to re-establish my credit and now have a Good credit rating.        Under ECOA, it is unlawful for any creditor to discriminate against any applicant with respect to any aspect of credit.  I am a female senior citizen with a veteran spouse.  Denying credit for a blatantly false reason is unlawful and discriminatory.  There was no reason for this denial and Home Depot’s callus disregard for the facts of my credit has now gained me a credit inquiry to damage my credit further.  To deny me credit was reckless and a willful disregard for the truth. It was unwarranted and their decision should be reversed.  In their response I ask that they file only a truthful statement and that they refrain from adding any additional requirements or reasons for the credit denial.     And finally, I respectfully request they stop the Robocalls to my home everyday telling me to complete my carpeting purpose.  This is completely negligent on their part in not maintaining a check and balance against purchase/credit transactions.     This case has been referred to CFPB because they stop unfair, deceptive and/or fraudulent business practices.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",SC,"Older American, Servicemember",Web,Closed with explanation,1,,2019,8,1,Credit card
2020-10-15,Checking or savings account,CD (Certificate of Deposit),Managing an account,Deposits or withdrawals,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,TN,,Referral,Closed with explanation,1,,2020,10,0,Bank account / service
